id_igre,ime,konzola,ocena,tezavnost,dolzina,povezava
735143,Kingdom Hearts HD 2.5 ReMIX,113,4.53,3.17,80.00+,/ps3/735143-kingdom-hearts-hd-25-remix
914622,Mother 3,91,4.52,3.12,32.93,/gba/914622-mother-3
699808,The Witcher 3: Wild Hunt,19,4.52,3.09,80.00+,/pc/699808-the-witcher-3-wild-hunt
654725,Metal Gear Solid 3: Snake Eater HD Edition,113,4.52,3.17,26.41,/ps3/654725-metal-gear-solid-3-snake-eater-hd-edition
458064,Shenmue II,67,4.52,3.00,49.74,/dreamcast/458064-shenmue-ii
935702,Kingdom Hearts II: Final Mix +,94,4.52,3.31,62.26,/ps2/935702-kingdom-hearts-ii-final-mix-plus
712099,Metal Gear Solid: The Legacy Collection,113,4.51,3.26,74.16,/ps3/712099-metal-gear-solid-the-legacy-collection
643146,Final Fantasy X / X-2 HD Remaster,113,4.51,3.06,80.00+,/ps3/643146-final-fantasy-x-x-2-hd-remaster
200275,Super Mario Odyssey,124,4.50,2.85,45.40,/switch/200275-super-mario-odyssey
924364,Shadow of the Colossus,94,4.50,3.27,22.48,/ps2/924364-shadow-of-the-colossus
944753,Metal Gear Solid: The Essential Collection,94,4.50,3.21,58.16,/ps2/944753-metal-gear-solid-the-essential-collection
997811,Animal Crossing: New Leaf,116,4.49,2.53,80.00+,/3ds/997811-animal-crossing-new-leaf
516492,Super Smash Bros. Melee,99,4.49,3.20,59.85,/gamecube/516492-super-smash-bros-melee
197341,Final Fantasy VII,78,4.49,3.02,68.34,/ps/197341-final-fantasy-vii
938877,Resident Evil 4: Wii Edition,114,4.48,3.28,28.93,/wii/938877-resident-evil-4-wii-edition
935689,The World Ends with You,108,4.48,3.34,44.60,/ds/935689-the-world-ends-with-you
272738,Xenoblade Chronicles: Definitive Edition,124,4.48,3.01,80.00+,/switch/272738-xenoblade-chronicles-definitive-edition
939065,Phoenix Wright: Ace Attorney - Trials and Tribulations,108,4.48,3.10,21.96,/ds/939065-phoenix-wright-ace-attorney-trials-and-tribulations
588741,Super Metroid,63,4.47,3.31,17.86,/snes/588741-super-metroid
944907,Mass Effect 2,111,4.47,3.10,47.10,/xbox360/944907-mass-effect-2
606312,Dark Souls,113,4.47,4.18,70.40,/ps3/606312-dark-souls
961351,"Nine Hours, Nine Persons, Nine Doors",108,4.47,3.05,23.61,/ds/961351-nine-hours-nine-persons-nine-doors
587964,Lunar: Eternal Blue,65,4.47,3.41,51.79,/segacd/587964-lunar-eternal-blue
635388,Rune Factory 4,116,4.47,3.04,78.47,/3ds/635388-rune-factory-4
701110,The Legend of Zelda: The Wind Waker HD,118,4.46,2.92,41.22,/wii-u/701110-the-legend-of-zelda-the-wind-waker-hd
561316,Tales of Symphonia,99,4.46,3.09,69.74,/gamecube/561316-tales-of-symphonia
198258,Panzer Dragoon Saga,76,4.46,2.90,30.17,/saturn/198258-panzer-dragoon-saga
197237,Skies of Arcadia,67,4.46,3.05,57.27,/dreamcast/197237-skies-of-arcadia
260936,Persona 5 Royal,120,4.46,2.85,80.00+,/ps4/260936-persona-5-royal
