id_igre,ime,konzola,konzola_kratica,ocena,tezavnost,dolzina,povezava
722589,Hatsune Miku: Project Diva F 2nd,vita,VITA,4.39,3.75,57.39,/vita/722589-hatsune-miku-project-diva-f-2nd
951686,Banjo-Kazooie,xbox360,X360,4.39,2.98,18.46,/xbox360/951686-banjo-kazooie
632696,Metal Gear Solid HD Collection,xbox360,X360,4.39,3.36,48.32,/xbox360/632696-metal-gear-solid-hd-collection
204582,Hollow Knight,switch,NS,4.38,4.01,51.84,/switch/204582-hollow-knight
759563,Phoenix Wright: Ace Attorney Trilogy,3ds,3DS,4.38,3.12,57.89,/3ds/759563-phoenix-wright-ace-attorney-trilogy
641335,Zero Escape: Virtue's Last Reward,vita,VITA,4.38,3.23,38.29,/vita/641335-zero-escape-virtues-last-reward
950903,Portal: Still Alive,xbox360,X360,4.38,3.21,12.21,/xbox360/950903-portal-still-alive
826290,Resident Evil HD Remaster,ps3,PS3,4.38,3.37,17.33,/ps3/826290-resident-evil-hd-remaster
605817,Gyakuten Kenji 2,ds,DS,4.38,3.02,36.53,/ds/605817-gyakuten-kenji-2
625523,Resident Evil 4 HD,xbox360,X360,4.38,3.27,24.92,/xbox360/625523-resident-evil-4-hd
939933,Fallout 3,xbox360,X360,4.38,3.11,67.40,/xbox360/939933-fallout-3
689474,Steins;Gate,vita,VITA,4.38,2.48,41.79,/vita/689474-steinsgate
561559,The Legend of Zelda: A Link to the Past / Four Swords,gba,GBA,4.38,3.24,29.56,/gba/561559-the-legend-of-zelda-a-link-to-the-past-four-swords
102483,Final Fantasy VII,ps4,PS4,4.38,2.87,66.76,/ps4/102483-final-fantasy-vii
185269,Story of Seasons: Trio of Towns,3ds,3DS,4.38,2.91,80.00+,/3ds/185269-story-of-seasons-trio-of-towns
588301,EarthBound,snes,SNES,4.38,3.16,38.32,/snes/588301-earthbound
469050,The Legend of Zelda: The Wind Waker,gamecube,GC,4.38,2.92,43.16,/gamecube/469050-the-legend-of-zelda-the-wind-waker
648891,Fallout: New Vegas - Ultimate Edition,xbox360,X360,4.38,3.18,76.20,/xbox360/648891-fallout-new-vegas-ultimate-edition
248082,Animal Crossing: New Horizons,switch,NS,4.38,2.02,80.00+,/switch/248082-animal-crossing-new-horizons
562855,Resident Evil 2: Dual Shock Edition,ps,PS,4.38,3.18,20.27,/ps/562855-resident-evil-2-dual-shock-edition
251075,Yo-kai Watch 3,3ds,3DS,4.38,3.01,80.00+,/3ds/251075-yo-kai-watch-3
684756,Mass Effect Trilogy,xbox360,X360,4.38,3.07,78.47,/xbox360/684756-mass-effect-trilogy
179835,Resident Evil 2,ps4,PS4,4.37,3.38,21.95,/ps4/179835-resident-evil-2
192511,Thief II: The Metal Age,pc,PC,4.37,3.41,30.92,/pc/192511-thief-ii-the-metal-age
130791,Final Fantasy VII,pc,PC,4.37,2.95,66.58,/pc/130791-final-fantasy-vii
928401,Ninja Gaiden Black,xbox,XBOX,4.37,4.31,35.85,/xbox/928401-ninja-gaiden-black
576095,Mario - Die unheimliche Mine,c64,C64,4.37,3.19,33.29,/c64/576095-mario-die-unheimliche-mine
920769,The Legend of Zelda: Twilight Princess,gamecube,GC,4.37,2.97,44.53,/gamecube/920769-the-legend-of-zelda-twilight-princess
693332,Dark Souls II,xbox360,X360,4.37,4.35,72.32,/xbox360/693332-dark-souls-ii
730565,Soul Sacrifice Delta,vita,VITA,4.37,3.26,78.77,/vita/730565-soul-sacrifice-delta
919902,Ratchet & Clank: Up Your Arsenal,ps2,PS2,4.37,3.01,31.49,/ps2/919902-ratchet-and-clank-up-your-arsenal
191476,The Elder Scrolls V: Skyrim Special Edition,xboxone,XONE,4.37,2.93,80.00+,/xboxone/191476-the-elder-scrolls-v-skyrim-special-edition
943732,Okami,wii,WII,4.37,3.03,49.43,/wii/943732-okami
516675,Star Wars: Knights of the Old Republic,pc,PC,4.37,3.02,46.24,/pc/516675-star-wars-knights-of-the-old-republic
537506,Skies of Arcadia Legends,gamecube,GC,4.37,3.04,62.18,/gamecube/537506-skies-of-arcadia-legends
183128,The Legend of Zelda: Twilight Princess HD,wii-u,WIIU,4.37,2.97,47.47,/wii-u/183128-the-legend-of-zelda-twilight-princess-hd
197344,Final Fantasy X,ps2,PS2,4.37,3.07,69.97,/ps2/197344-final-fantasy-x
952337,Batman: Arkham Asylum,xbox360,X360,4.37,3.13,24.07,/xbox360/952337-batman-arkham-asylum
562643,The King of Fighters '98: The Slugfest,neo,NEO,4.37,3.39,26.11,/neo/562643-the-king-of-fighters-98-the-slugfest
729328,Bravely Default,3ds,3DS,4.37,3.17,72.91,/3ds/729328-bravely-default
605239,Mass Effect 2,ps3,PS3,4.37,3.06,46.94,/ps3/605239-mass-effect-2
643558,Metal Gear Solid HD Collection,vita,VITA,4.37,3.32,45.92,/vita/643558-metal-gear-solid-hd-collection
160146,Dragon Quest VIII: Journey of the Cursed King,3ds,3DS,4.37,3.08,77.95,/3ds/160146-dragon-quest-viii-journey-of-the-cursed-king
668928,The Walking Dead: Episode 5 - No Time Left,ps3,PS3,4.37,2.38,3.21,/ps3/668928-the-walking-dead-episode-5-no-time-left
588479,Mega Man X,snes,SNES,4.37,3.31,12.98,/snes/588479-mega-man-x
197769,The Legend of Zelda: Link's Awakening DX,gbc,GBC,4.37,3.10,23.06,/gbc/197769-the-legend-of-zelda-links-awakening-dx
641161,Kidou Senshi Gundam: Extreme VS,ps3,PS3,4.37,3.70,52.70,/ps3/641161-kidou-senshi-gundam-extreme-vs
938402,Moero! Nekketsu Rhythm Damashii: Osu! Tatakae! Ouendan 2,ds,DS,4.37,3.63,29.14,/ds/938402-moero-nekketsu-rhythm-damashii-osu-tatakae-ouendan-2
589456,Castlevania: Aria of Sorrow,gba,GBA,4.36,3.05,23.40,/gba/589456-castlevania-aria-of-sorrow
708863,Shovel Knight,3ds,3DS,4.36,3.67,16.60,/3ds/708863-shovel-knight
562681,The Secret of Monkey Island,pc,PC,4.36,3.15,18.65,/pc/562681-the-secret-of-monkey-island
786515,Yo-kai Watch 2: Bony Spirits,3ds,3DS,4.36,2.99,64.29,/3ds/786515-yo-kai-watch-2-bony-spirits
582497,NetHack,pc,PC,4.36,4.67,80.00+,/pc/582497-nethack
919875,StarCraft Battle Chest,pc,PC,4.36,3.41,58.73,/pc/919875-starcraft-battle-chest
979867,The Legend of Heroes: Trails in the Sky SC,pc,PC,4.36,3.12,73.51,/pc/979867-the-legend-of-heroes-trails-in-the-sky-sc
562920,Garou: Mark of the Wolves,neo,NEO,4.36,3.19,17.73,/neo/562920-garou-mark-of-the-wolves
168566,Dark Souls III,ps4,PS4,4.36,4.18,65.58,/ps4/168566-dark-souls-iii
650003,Katawa Shoujo,pc,PC,4.36,2.29,26.59,/pc/650003-katawa-shoujo
198986,The Ultimate DOOM,pc,PC,4.36,3.32,20.28,/pc/198986-the-ultimate-doom
102484,Final Fantasy X / X-2 HD Remaster,ps4,PS4,4.36,3.06,80.00+,/ps4/102484-final-fantasy-x-x-2-hd-remaster
957844,Heroes of Might and Magic III Complete,pc,PC,4.36,3.33,74.15,/pc/957844-heroes-of-might-and-magic-iii-complete
971508,Shin Megami Tensei: Persona 3 Portable,psp,PSP,4.36,3.23,73.75,/psp/971508-shin-megami-tensei-persona-3-portable
700050,Mario Kart 8,wii-u,WIIU,4.36,3.07,50.47,/wii-u/700050-mario-kart-8
198849,Paper Mario,n64,N64,4.36,2.91,35.00,/n64/198849-paper-mario
943347,Kingdom Hearts: Birth by Sleep,psp,PSP,4.36,3.18,48.27,/psp/943347-kingdom-hearts-birth-by-sleep
589264,Castlevania: Rondo of Blood,turbocd,TCD,4.36,3.78,11.73,/turbocd/589264-castlevania-rondo-of-blood
999440,Tactics Ogre: Let Us Cling Together,psp,PSP,4.36,3.41,73.67,/psp/999440-tactics-ogre-let-us-cling-together
925589,Phoenix Wright: Ace Attorney,ds,DS,4.36,3.06,20.68,/ds/925589-phoenix-wright-ace-attorney
198308,Pokemon Gold Version,gbc,GBC,4.36,2.85,56.13,/gbc/198308-pokemon-gold-version
792672,Pokemon Alpha Sapphire,3ds,3DS,4.36,2.63,61.71,/3ds/792672-pokemon-alpha-sapphire
961300,Rune Factory 3: A Fantasy Harvest Moon,ds,DS,4.36,2.92,53.81,/ds/961300-rune-factory-3-a-fantasy-harvest-moon
168545,Dark Souls III,xboxone,XONE,4.36,4.36,68.31,/xboxone/168545-dark-souls-iii
446340,Pokemon Silver Version,gbc,GBC,4.36,2.85,57.65,/gbc/446340-pokemon-silver-version
835980,Disgaea 5: Alliance of Vengeance,ps4,PS4,4.36,3.08,80.00+,/ps4/835980-disgaea-5-alliance-of-vengeance
582958,Shin Megami Tensei: Nocturne,ps2,PS2,4.36,4.02,72.92,/ps2/582958-shin-megami-tensei-nocturne
696960,Pokemon Y,3ds,3DS,4.36,2.52,57.88,/3ds/696960-pokemon-y
472572,Super Mario World: Super Mario Advance 2,gba,GBA,4.36,3.07,23.06,/gba/472572-super-mario-world-super-mario-advance-2
731138,Kidou Senshi Gundam: Extreme VS Full Boost,ps3,PS3,4.36,3.67,62.90,/ps3/731138-kidou-senshi-gundam-extreme-vs-full-boost
